pricelog,host_is_superhost,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_response_rate,host_acceptance_rate,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,maximum_nights_avg_ntm,availability_90,availability_365,number_of_reviews,number_of_reviews_l30d,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,exp_days_host,a few days or more,within a day,within a few hours,within an hour,property_type_Entire_rental_unit,property_type_Private_room_in_rental_unit,property_type_Private_room_in_home,property_type_Entire_condo,property_type_Entire_serviced_apartment,property_type_Entire_home,property_type_Private_room_in_condo,property_type_Entire_loft,property_type_Private_room_in_bed_and_breakfast,property_type_Room_in_hotel,amenity_Kitchen,amenity_Wifi,amenity_Hot_water,amenity_Hair_dryer,amenity_Hangers,amenity_TV,amenity_Dishes_and_silverware,amenity_Essentials,amenity_Cooking_basics,amenity_Iron,amenity_Bed_linens,amenity_Refrigerator,amenity_Microwave,amenity_Elevator,amenity_Dedicated_workspace,amenity_Hot_water_kettle,amenity_Extra_pillows_and_blankets,amenity_Washer,amenity_Long_term_stays_allowed,amenity_Self_check_in,amenity_Wine_glasses,amenity_Oven,amenity_Room_darkening_shades,amenity_Heating,amenity_Bathtub,amenity_Fire_extinguisher,amenity_Shampoo,amenity_Free_parking_on_premises,amenity_Toaster,amenity_Smoke_alarm,amenity_Cleaning_products,amenity_Freezer,amenity_Dining_table,amenity_Body_soap,amenity_Exterior_security_cameras_on_property,amenity_Pets_allowed,amenity_First_aid_kit,amenity_Clothing_storage_closet,amenity_Baking_sheet,amenity_Smoking_allowed,amenity_Pool,amenity_Drying_rack_for_clothing,amenity_Stove,amenity_Coffee_maker,amenity_Luggage_dropoff_allowed,amenity_Laundromat_nearby,amenity_Private_entrance,amenity_BBQ_grill,amenity_Outdoor_dining_area,amenity_Blender,amenity_Coffee,amenity_Private_patio_or_balcony,amenity_Air_conditioning,amenity_Portable_fans,amenity_Dryer,amenity_Carbon_monoxide_alarm,amenity_Free_street_parking,amenity_Portable_heater,amenity_Paid_parking_on_premises,amenity_Exercise_equipment,amenity_Patio_or_balcony,amenity_Clothing_storage,amenity_Host_greets_you,amenity_Single_level_home,amenity_Conditioner,amenity_Building_staff,amenity_Lock_on_bedroom_door,amenity_Lockbox,amenity_Gym,amenity_Paid_washer_–_In_building,amenity_Outdoor_furniture,amenity_Shower_gel,amenity_Paid_dryer_–_In_building,amenity_Books_and_reading_material,amenity_Ethernet_connection,amenity_TV_with_standard_cable,amenity_Keypad,amenity_Safe,amenity_Smart_lock,amenity_Mini_fridge,amenity_City_skyline_view,amenity_Shared_gym_in_building,amenity_Pocket_wifi,amenity_Free_washer_–_In_unit,amenity_Backyard,amenity_Dishwasher,amenity_Mountain_view,amenity_Window_guards,amenity_Cleaning_available_during_stay,amenity_Shared_pool,amenity_Barbecue_utensils,amenity_Paid_parking_off_premises,amenity_Free_dryer_–_In_unit,amenity_Stainless_steel_oven,amenity_Trash_compactor,amenity_Crib,amenity_Coffee_maker_drip_coffee_maker,amenity_Board_games,amenity_Electric_stove,amenity_Central_heating
10.767958535680487,1.0,4,2.0,2.0,2.0,3,62,100.0,99.0,5,1.0,1.0,-33.44908,-70.63297,60.4,83,173,129,0,0.0,1,0,0,5013,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
10.915088464214607,1.0,2,1.0,1.0,2.0,1,1125,85.0,73.0,24,1.0,1.0,-33.423,-70.60942,1125.0,88,363,80,1,0.0,20,0,0,4954,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10.46310334047155,0.0,4,1.0,1.0,4.0,2,1125,100.0,100.0,13,1.0,1.0,-33.43584,-70.64874,1125.0,89,364,103,0,1.0,1,0,0,4667,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10.906634649386172,0.0,2,1.0,1.0,1.0,2,1125,100.0,100.0,7,1.0,1.0,-33.40603,-70.55853,1125.0,52,327,203,1,1.0,2,0,0,4420,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10.965608732621822,1.0,3,1.0,2.0,3.0,2,400,94.0,97.0,19,1.0,1.0,-33.43404,-70.64794,400.0,42,42,193,0,0.0,16,0,0,2776,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9.987782744031522,0.0,1,4.5,7.0,4.0,30,1125,100.0,36.0,9,1.0,1.0,-33.42254,-70.5903,1125.0,89,364,23,0,0.0,4,3,0,4349,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
10.714417768752456,1.0,4,1.0,1.0,2.0,2,365,100.0,96.0,12,1.0,1.0,-33.41736,-70.61304,365.0,90,365,1,0,0.0,7,2,0,4966,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.950806546816688,1.0,2,1.0,1.0,2.0,1,365,85.0,73.0,24,1.0,1.0,-33.4223,-70.61064,365.0,53,327,160,4,0.0,20,0,0,4954,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10.971915510026923,0.0,2,1.0,1.0,2.0,1,90,100.0,50.0,1,1.0,1.0,-33.41349,-70.58773,90.0,88,363,0,0,1.0,1,0,0,4953,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.001916491063295,1.0,3,1.5,2.0,3.0,6,180,100.0,100.0,1,1.0,1.0,-33.41397512404282,-70.58234500887127,1125.0,29,280,237,0,0.0,1,0,0,4941,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
